Time,Energy 1,Energy 2,Total,Scatterer,Absorber
108623,256.366045,360.330631,616.696676,4,6
305441,278.430878,388.288054,666.718932,1,7
335652,350.788473,291.041698,641.830172,3,5
414753,221.418092,438.122881,659.540973,4,5
502390,269.220096,372.678313,641.898409,1,8
574512,248.670277,395.078370,643.748646,4,7
744301,324.193523,329.047745,653.241269,1,7
761639,276.135167,370.137789,646.272956,4,7
770433,264.553397,388.979043,653.532439,4,6
840284,280.052942,413.436687,693.489629,1,8
872449,237.740094,398.459807,636.199901,1,6
1075899,202.141369,438.447804,640.589173,4,8
1124727,239.324868,467.016015,706.340883,2,6
1322778,247.017981,362.487344,609.505326,2,6
1568328,236.559130,435.232101,671.791232,1,5
1956135,240.652154,419.069420,659.721573,3,8
2013515,286.283623,406.380900,692.664523,3,5
2179273,278.982375,373.000157,651.982532,3,6
2343775,253.661492,383.305799,636.967291,2,8
2775759,255.267969,391.226846,646.494815,3,5
2928392,301.053864,374.702517,675.756381,4,7
3135513,261.280080,364.343899,625.623979,1,7
3539461,367.856100,272.227670,640.083770,1,5
3910728,269.432335,417.736286,687.168621,2,5
3980780,180.228242,587.429938,767.658180,3,6
4108723,233.558202,463.084960,696.643162,2,6
4110529,247.059424,431.378142,678.437566,2,6
4376093,228.558340,373.998277,602.556617,1,6
4412861,204.094262,466.957040,671.051301,2,7
4679430,219.102586,435.965684,655.068270,4,8
4870572,339.234207,281.507320,620.741526,4,6
5025290,213.897653,400.497844,614.395497,4,8
5130879,218.216443,440.622784,658.839227,2,7
5230808,251.454312,408.096082,659.550394,4,7
5385963,237.238906,399.983183,637.222090,4,5
5515128,279.000430,423.862036,702.862466,3,6
5519076,249.001504,410.329913,659.331417,3,8
5632288,251.801921,439.108148,690.910069,4,7
5700617,246.481615,416.567182,663.048797,3,7
5753783,237.386132,379.569387,616.955519,1,7
5818802,167.501677,455.774273,623.275950,4,6
6075306,193.902948,466.681736,660.584684,3,6
6144587,270.895254,366.747308,637.642562,1,8
6159606,265.480683,376.927826,642.408508,1,8
6219442,261.087671,431.717003,692.804674,4,5
6288018,293.473639,414.003237,707.476876,1,7
6333646,228.775581,428.427474,657.203056,4,5
6753539,244.559546,436.933053,681.492599,4,8
6818785,206.212039,434.562520,640.774558,1,5
7019635,233.257255,446.320116,679.577370,3,7
7029659,298.977539,380.547270,679.524810,2,5
7062651,283.293572,386.694049,669.987621,3,5
7344126,429.785733,237.323647,667.109380,4,5
7455465,262.460176,395.795650,658.255827,3,8
7584452,288.436316,474.255305,762.691621,3,6
7692216,406.678318,235.415692,642.094010,4,6
7751588,243.749723,406.786026,650.535749,4,8
7956439,261.035451,471.974700,733.010150,4,8
8086163,281.618186,393.673547,675.291733,3,5
8342244,229.393833,437.938677,667.332509,2,7
8377145,184.007459,409.349498,593.356957,4,5
8498974,217.106851,453.212828,670.319679,3,7
8614932,237.567062,450.209130,687.776192,4,8
8694956,256.757978,398.508604,655.266582,1,7
8837536,268.003279,420.006635,688.009914,3,8
8887258,188.854481,367.736830,556.591311,4,6
9565880,230.727428,436.173069,666.900497,4,5
9599869,285.123450,412.741388,697.864838,1,8
9636405,255.768742,451.884986,707.653729,1,5
10075232,284.216267,369.181346,653.397613,2,5
10080481,243.703941,427.885764,671.589705,4,6
10197164,266.991756,418.734021,685.725777,1,7
10250917,233.987574,446.262334,680.249908,1,6
10404206,245.979512,429.435793,675.415305,1,8
10462063,278.598073,381.428496,660.026570,1,6
10768270,237.590592,427.192507,664.783099,4,5
10904001,229.062863,430.315216,659.378079,4,5
10935389,261.537725,427.357649,688.895374,1,7
11174967,241.821238,398.504511,640.325749,2,8
11176339,364.839962,265.321463,630.161425,3,5
11422430,193.207435,442.589838,635.797273,3,7
11526715,516.030035,128.916126,644.946162,2,7
11530489,190.347392,443.701684,634.049075,2,6
11535475,262.594418,403.727350,666.321767,1,7
11665248,277.211101,396.171150,673.382250,3,7
11821269,373.356822,276.355744,649.712567,2,5
12050636,285.024608,404.971718,689.996326,3,6
12058014,256.222698,396.595050,652.817749,2,7
12196790,272.843712,399.155944,671.999656,3,6
12234808,252.763058,428.273660,681.036718,1,5
12289017,236.299498,424.199170,660.498668,4,5
12355221,238.684533,407.018315,645.702848,4,5
12370358,416.720732,279.893055,696.613787,1,8
12456757,262.136902,407.455829,669.592730,2,8
12620328,282.197893,376.321771,658.519665,3,5
12875687,219.632232,433.167411,652.799643,2,7
13227369,296.340672,373.772907,670.113579,1,8
13273684,230.285432,458.952316,689.237748,4,8
13654106,282.811859,378.105187,660.917046,3,5
13662726,263.003750,390.778933,653.782683,2,5
13756042,230.918951,419.888875,650.807826,1,5
14022595,237.540318,398.583748,636.124067,3,6
14224541,275.865197,352.518774,628.383971,3,5
14409822,289.146905,374.478501,663.625405,2,5
14589253,245.421671,394.199375,639.621046,4,8
14636097,291.257551,349.038572,640.296123,4,6
14671658,187.425331,442.264792,629.690122,2,6
14815948,181.101828,482.908199,664.010027,1,8
15083733,223.368989,445.239880,668.608868,3,7
15133026,246.316982,461.691263,708.008244,1,6
15332264,283.125770,383.488305,666.614075,4,7
15398457,277.010940,403.976842,680.987782,4,6
15405088,383.667148,260.238485,643.905633,1,5
15515447,203.141621,435.321242,638.462863,1,6
15643300,184.331925,493.706056,678.037981,4,8
15712156,324.431341,336.132445,660.563785,4,5
15869984,246.026596,425.542364,671.568960,2,7
16054083,214.971959,452.248523,667.220483,3,8
